"('diapers', 0.011430031079372429)"
"('cheap version', 0.0003553767956121155)"
"('sister still uses', 0.000355267444297311)"
"('must buy', 0.00035377412528110873)"
"('research', 0.0003536210718373207)"
"('gets worse', 0.0003535536757497894)"
"('sausage roll', 0.00035302380984922273)"
"('buy cassettes', 0.0003523061491822953)"
"('got worse', 0.00035154005286779745)"
"('cover', 0.00035139651627385436)"
"('star', 0.0003506598708289656)"
"('shower', 0.00035026475793337316)"
"('cleaning products', 0.0003501955599090332)"
"('toilet', 0.00034916534734111054)"
"('cloth gasket', 0.0003490851653629002)"
"('effort', 0.00034799235116428785)"
"('nice concept', 0.0003479330151687464)"
"('gets dirty', 0.00034791243673349624)"
"('great choice', 0.00034786519890063364)"
"('velcro tabs', 0.00034756789724824403)"
"('case', 0.00034709218702854886)"
"('everyday anyway', 0.00034701933682210916)"
"('shower gifts', 0.0003468910781449469)"
"('helps avoid', 0.0003456618991035235)"
"('one starts foods', 0.00034541639840418814)"
"('remember reading', 0.0003446956335235598)"
"('go longer', 0.00034450238944111656)"
"('gifts', 0.0003435173983565206)"
"('think parents', 0.00034320019947398463)"
"('super cheap super', 0.00034238677048898416)"
"('market today', 0.00034182043276719096)"
"('base', 0.00034136833425540573)"
"('research online', 0.00034125497081672446)"
"('design still needs', 0.0003411247611205192)"
"('lever', 0.000338330640098943)"
"('great investment', 0.00033785269723455143)"
"('complaint', 0.00033772343675481174)"
"('outside air', 0.00033738064184811613)"
"('feature', 0.0003372894494258676)"
"('alot', 0.00033707807722104443)"
"('big difference', 0.00033542681798055986)"
"('please', 0.00033434303701316393)"
"('issues', 0.0003337298739417538)"
"('saves space', 0.00033369730027513623)"
"('much space', 0.0003334785281776022)"
"('middle', 0.00033341087403521104)"
"('older children watch', 0.00033249829064710775)"
"('trouble', 0.00033231962787360454)"
"('ones go', 0.00033148997743879177)"
"('chamber', 0.00033122823644305484)"
"('help control', 0.0003310726650864353)"
"('stinky anyway', 0.0003300115130257693)"
"('newborn still', 0.0003295459383459237)"
"('keep roll', 0.00032918394995765587)"
"('online', 0.00032888886979612824)"
"('homes anyway', 0.00032816822278561417)"
"('velcro', 0.0003279839550317273)"
"('glad', 0.00032776817927314704)"
"('neat disposal system instead', 0.0003275419190285206)"
"('clorox spray', 0.0003271184055127763)"
"('thought', 0.00032700533693422613)"
"('loose tape', 0.0003269333141855717)"
"('replacement cartridges', 0.00032547415235632186)"
"('someone bought us', 0.00032524595273395504)"
"('products like', 0.00032521854659121224)"
"('done great', 0.00032512629245986136)"
"('closet', 0.000324551643306766)"
"('tip', 0.0003233422640286416)"
"('sons bathroom', 0.00032284311455205015)"
"('oder escape', 0.0003222731850995899)"
"('getting worse', 0.00032196328454869936)"
"('tube', 0.0003217555800500966)"
"('great means', 0.000321182775622111)"
"('model stinks', 0.00032071300623233445)"
"('safety', 0.00032016592443746963)"
"('everytime', 0.0003198874964705896)"
"('bulk anyway', 0.00031930328663276294)"
"('take apart', 0.0003178845687299545)"
"('couple minutes', 0.0003177825614162498)"
"('area uses', 0.0003168394460365719)"
"('nail opening', 0.00031637953418844737)"
"('mind', 0.00031636152749121073)"
"('changing cartridges', 0.00031609864298666175)"
"('wow', 0.00031597236291899485)"
"('wash', 0.00031556283503289106)"
"('twist', 0.0003146885091703985)"
"('let us', 0.0003143666941783971)"
"('wash mine everytime', 0.00031430110057371)"
"('perfect', 0.0003141131622043724)"
"('waste', 0.00031395888814936295)"
"('much worse', 0.00031366025711127623)"
"('chump', 0.0003129487018245916)"
"('looks nice', 0.00031240371927378474)"
"('bin', 0.000311438053203971)"
"('ones ca', 0.0003112796166703552)"
"('choice', 0.0003112526734354951)"
"('stuff like', 0.00031051165442645055)"
"('stench escape', 0.0003100141616773216)"
"('bought broke', 0.0003099140337780044)"
"('moms', 0.0003094134245896237)"
"('good capacity', 0.0003089901799851562)"
"('save alot', 0.0003088123230741013)"
"('hope', 0.00030789561263135285)"
"('great deal', 0.000307717938248966)"
"('makes life', 0.00030767074866016404)"
"('mine', 0.00030745297021764944)"
"('ones start', 0.00030708870065743936)"
"('much longer', 0.00030680822653701386)"
"('half', 0.00030668599787217986)"
"('hint', 0.00030660270070199307)"
"('fingers getting caught', 0.00030644635490007947)"
"('package', 0.00030611724400394835)"
"('longer find', 0.0003057724461653194)"
"('needless', 0.00030512875401130125)"
"('spray cleaning', 0.0003049395893698734)"
"('holds good', 0.0003047176189542317)"
"('much chance', 0.0003039685662408303)"
"('toddlers opening', 0.00030395809052588616)"
"('spray oust', 0.0003034352366766717)"
"('piston makes', 0.00030338016159628004)"
"('still odorless', 0.00030322958490776607)"
"('brand went', 0.00030249383123322584)"
"('seems', 0.0003017960799902133)"
"('name fits', 0.0003016100624058225)"
"('seconds', 0.00030145862264525214)"
"('big chance', 0.0002995907421559319)"
"('parent', 0.0002992021174674301)"
"('great thank', 0.0002988292590299441)"
"('toddlers like', 0.0002988129877694853)"
"('hold alot', 0.0002977098597576683)"
"('plastic liner', 0.0002965322896879586)"
"('care', 0.0002965104482021947)"
"('process', 0.00029649303566217243)"
"('recommend changing', 0.00029648839662608064)"
"('refils', 0.00029599761373336165)"
"('stuff needs', 0.0002956327938157142)"
"('believe', 0.0002945466409444115)"
"('stinky ones', 0.0002936005529373452)"
"('take cartridges', 0.0002924232326361305)"
"('great option instead', 0.0002920421515037954)"
"('costco', 0.0002920092216078862)"
"('broke within', 0.00029157192849480265)"
"('investment', 0.00029122767010333076)"
"('hello', 0.00029121865161310363)"
"('yuck', 0.00029103173184866053)"
"('loose', 0.0002909849444620399)"
"('turn', 0.00029076243766705236)"
"('fall apart', 0.00029054419424363263)"
"('kinda fun', 0.0002897899249353175)"
"('recommend putting', 0.00028978503532497974)"
"('outside', 0.00028871986835303916)"
"('us parents', 0.00028867493659497843)"
"('read instructions', 0.000288350514952885)"
"('concept', 0.00028816455520376094)"
"('older ones', 0.00028813929680056)"
"('tube area', 0.0002877391231306376)"
"('take great', 0.00028557330637184663)"
"('penny', 0.000284066865025136)"
"('dont notice', 0.00028310108564693156)"
"('nose', 0.0002828740645491355)"
"('foot lever', 0.0002822970690018932)"
"('okay', 0.0002820259854016731)"
"('dg cartridges', 0.0002811972983536753)"
"('quality control', 0.0002811942448471446)"
"('save', 0.0002805465689271582)"
"('older model', 0.00028052598439112287)"
"('amazon', 0.0002787353145928278)"
"('weight like', 0.00027785797401917674)"
"('broke us', 0.0002766048294483229)"
"('bucks', 0.000275783899951766)"
"('contents', 0.00027511116313675414)"
"('couple hours', 0.000272619298891991)"
"('thats', 0.00027195970376106554)"
"('holds back', 0.00027186086527918594)"
"('recommendation', 0.00027183993798285573)"
"('got online', 0.00027170809743636687)"
"('shower list', 0.0002713590823234242)"
"('plastic spray', 0.0002696413703981446)"
"('basement', 0.00026920725234372603)"
"('reasons', 0.00026812028005013754)"
"('still holds', 0.0002680472855279998)"
"('expectations', 0.00026804244519027296)"
"('contact', 0.00026797143074072595)"
"('keep stick', 0.0002676202108631414)"
"('weekend', 0.000266320068494041)"
"('end', 0.000266078030780033)"
"('caught', 0.0002660525763881348)"
"('done', 0.00026577486055395067)"
"('plastic holds', 0.0002655407344091787)"
"('none', 0.0002654660408034523)"
"('finger', 0.00026546141186902195)"
"('gaskets', 0.0002652668838493945)"
"('operation', 0.00026470062693963013)"
"('minutes', 0.00026459510754459786)"
"('still notice', 0.000264202707770057)"
"('recommend spending', 0.0002630725953009295)"
"('stinky air', 0.00026220931285603417)"
"('dogs', 0.0002618074540283265)"
"('face', 0.0002613870222238532)"
"('package insert', 0.00026136041991629713)"
"('got mine', 0.00026099014764712744)"
"('waste stinks', 0.00026089381496354554)"
"('replacement gaskets', 0.00025901880583384916)"
"('good tip', 0.0002587697421832972)"
"('perfect solution', 0.0002586551546345126)"
"('oder free', 0.00025854469211545526)"
"('hold', 0.0002583416422942921)"
"('corner', 0.0002582930365194758)"
"('means', 0.0002578878268784499)"
"('right choice', 0.0002577428169700343)"
"('recommend getting', 0.00025716543630579353)"
"('reviewers', 0.0002565239137707452)"
"('voila', 0.00025626240657914665)"
"('locks nice', 0.00025618148999420024)"
"('charge', 0.00025550954348659867)"
"('opening device', 0.000254104171616251)"
"('finger instead', 0.00025402694668908533)"
"('comparison', 0.0002539415091158094)"
"('area', 0.00025372266621117857)"
"('leak oder', 0.0002535383253339955)"
"('couple suggestions', 0.0002530263240584008)"
"('went online', 0.0002529899659820063)"
"('replacement', 0.0002527707278183038)"
"('car air', 0.00025274282116117733)"
"('good choice', 0.00025272494688672394)"
"('spending alot', 0.0002521330918248628)"
"('daughters', 0.0002520715652146455)"
"('kid starts', 0.0002518583095867167)"
"('bleach', 0.00025179848726597834)"
"('boy gets older', 0.0002517683953098618)"
"('watch', 0.000251528054694526)"
"('suggestion', 0.0002507538090677862)"
"('controls oder', 0.000250675410837455)"
"('pinch', 0.00025045445675397264)"
"('still uses', 0.0002504063896737271)"
"('star rating', 0.0002499685095723575)"
"('done changing', 0.0002498972848164671)"
"('older family', 0.00024965845194609084)"
"('arm', 0.00024961874041865)"
"('great success', 0.0002496128787517219)"
"('option', 0.0002490562486364654)"
"('pale', 0.00024898476529972404)"
"('device like', 0.00024895906885985015)"
"('im glad', 0.0002489270221578789)"
"('mistake', 0.0002486282967799999)"
"('escape', 0.0002480929987415927)"
"('tabs back', 0.000247817776226311)"
"('keep tabs', 0.0002476798833850126)"
"('outside right', 0.00024647641442880635)"
"('contrary', 0.00024592952308404237)"
"('advantage', 0.00024528341348605936)"
"('charm', 0.00024424864249780043)"
"('kid gets older', 0.0002441502264273611)"
"('guess mine', 0.00024411793497392269)"
"('changing area', 0.00024387118764508103)"
"('trouble getting', 0.00024384670815600693)"
"('sons', 0.00024373400914948315)"
"('nose right', 0.00024355351252685448)"
"('much effort', 0.00024338004236392543)"
"('think thats', 0.0002427999951980501)"
"('instead', 0.0002425924815091487)"
"('gets caught', 0.00024230357361436204)"
"('front', 0.00024203502351597095)"
"('recommend keeping', 0.00024159332608690207)"
"('take care', 0.0002415896682900579)"
"('breath', 0.00024145652569649553)"
"('clorox bleach', 0.00024129800437154426)"
"('disposables', 0.00024124913836127247)"
"('good concept', 0.00024118088777085685)"
"('still recommend', 0.00023990681882933335)"
"('boys', 0.00023968838560574186)"
"('trouble opening', 0.00023954784797103427)"
"('minutes go', 0.0002393755834581831)"
"('bought mine', 0.0002393305698770173)"
"('wrap', 0.00023920519922155617)"
"('dont mind', 0.00023750741836522444)"
"('button half', 0.000236373385439693)"
"('morning', 0.00023635502592158947)"
"('much trouble', 0.00023554368071858377)"
"('gallon glad', 0.00023552083009939514)"
"('brother', 0.00023519904499665165)"
"('rest', 0.0002347675201245076)"
"('apartment basement', 0.00023413233411508186)"
"('changing', 0.0002340197090789835)"
"('bags.i recommend', 0.00023394882756546436)"
"('lever back', 0.00023340717654340209)"
"('slot', 0.0002332113312230936)"
"('contraption', 0.00023309006877245434)"
"('super', 0.0002330415387286549)"
"('disposal area', 0.00023262159362357528)"
"('sturdy base', 0.00023253649842140401)"
"('deal', 0.00023095815213215986)"
"('clorox', 0.00023079752147711017)"
"('takes care', 0.00023071234308611653)"
"('online stores', 0.0002306242865507278)"
"('whiff', 0.0002297743974169783)"
"('spend alot', 0.00022964491483817677)"
"('poopies outside', 0.00022944517363732603)"
"('bleach solution', 0.00022749781716531556)"
"('please remember', 0.00022711907948912575)"
"('guess thats', 0.00022637130174563077)"
"('replacement knobs', 0.00022629812324679758)"
"('foot', 0.00022626349790484348)"
"('hall outside', 0.00022450393085657523)"
"('target', 0.00022448731314777339)"
"('still glad', 0.00022431236637931797)"
"('replacement sponge gaskets', 0.00022411912149124645)"
"('wants', 0.00022374478852526557)"
"('tie', 0.00022304452171503306)"
"('good suggestion', 0.0002224755147028695)"
"('replace mine', 0.00022245684292797468)"
"('trips outside', 0.00022235148496631778)"
"('good option', 0.0002216267344872091)"
"('fingernails everytime', 0.00022117004975841643)"
"('shoot', 0.00022091541393552978)"
"('crib', 0.0002207011871250641)"
"('putting', 0.00022061298647678166)"
"('mind emptying', 0.00022053556993102767)"
"('trashbags instead', 0.00022031450211921566)"
"('sure', 0.00022008539230106267)"
"('seems like', 0.00021914097127293778)"
"('seals', 0.00021869584461898923)"
"('gets', 0.00021855457084058932)"
"('read online', 0.00021831582484499923)"
"('trouble openning', 0.00021768125033388796)"
"('gasket replacement', 0.00021741195170147973)"
"('site', 0.00021736760845387755)"
"('looks', 0.00021710596341383763)"
"('chump still', 0.00021690262765504026)"
"('cats', 0.00021664663816423177)"
"('insert', 0.00021660359582864586)"
"('champs', 0.00021659338816331776)"
"('landfill', 0.00021645156317842983)"
"('got', 0.00021452732507660545)"
"('flipping tube', 0.00021436946205780516)"
"('secure', 0.00021429707106367522)"
"('go', 0.00021415605937176837)"
"('plastic bin', 0.0002136407522259089)"
"('think', 0.00021364028663503468)"
"('forget', 0.00021346698329775506)"
"('mos', 0.00021325329914561895)"
"('gets poopy', 0.00021318478983950803)"
"('poopy gets', 0.00021318478983950803)"
"('thank', 0.00021318079369411617)"
"('set', 0.00021271147461582085)"
"('deck right outside', 0.00021236437557320965)"
"('ring', 0.0002117746293432663)"
"('disposal', 0.000211520521035972)"
"('order', 0.00021125081662843681)"
"('must wash', 0.00021114243855016178)"
"('trust', 0.00021098182748432803)"
"('getting caught', 0.00021071318241327206)"
"('decor', 0.00021049140636743836)"
"('big turn', 0.00021038726153040923)"
"('church', 0.00020947061689809398)"
"('pails', 0.0002093669677111779)"
"('power nose', 0.00020934564267194192)"
"('go right', 0.00020919450993817096)"
"('plastic seems', 0.00020881976561903004)"
"('sam', 0.00020862045357969409)"
"('porch half', 0.00020833835493493238)"
"('help', 0.00020783828516457512)"
"('stinks', 0.00020782874177772813)"
"('poopy', 0.00020781500883842674)"
"('lemon', 0.00020721929288583093)"
"('mine must', 0.00020708750614254097)"
"('gasket deal', 0.00020650566385840776)"
"('girl', 0.00020628161784894093)"
"('stinks regardless', 0.00020621053732928943)"
"('looks good', 0.0002056515918758952)"
"('outside dumpster', 0.00020508929776917272)"
"('regardless', 0.0002045923328808507)"
"('help curb', 0.00020455332651302824)"
"('got good', 0.0002043622727072791)"
"('right', 0.00020423296050457352)"
"('solution', 0.00020319714706465279)"
"('email', 0.00020303928769025038)"
"('parent needs', 0.00020296512940080986)"
"('makes changing', 0.00020248273885774252)"
"('means opening', 0.00020233194747345696)"
"('front door', 0.00020149617931479067)"
"('still okay', 0.000201441269443581)"
"('curb', 0.00020126836786148135)"
"('opening area', 0.00020024936713982128)"
"('knobs', 0.00019982551867529137)"
"('big reasons', 0.00019906618272195185)"
"('apartment', 0.00019905741588643766)"
"('somehow', 0.00019883352117226492)"
"('must turn', 0.0001987422398672424)"
"('hold much', 0.00019855468792892756)"
"('update', 0.0001984921056368741)"
"('poops', 0.00019815065879393772)"
"('trashbags', 0.0001980365227292826)"
"('free replacement seals', 0.00019736752840353883)"
"('challenge', 0.00019688442630689767)"
"('quicker', 0.000196338107978538)"
"('good poops', 0.00019617393956594524)"
"('cause thats', 0.0001960944422766925)"
"('jam', 0.0001958296414348832)"
"('today', 0.00019495417209279642)"
"('good', 0.00019419722033795278)"
"('like bleach', 0.00019414217491082032)"
"('canister', 0.00019364120347116896)"
"('back corner', 0.00019338837475366849)"
"('simplicity', 0.00019310672532605157)"
"('competition', 0.00019275008556969138)"
"('list', 0.00019245340671347527)"
"('decision', 0.00019130844364215855)"
"('person', 0.0001911118615722322)"
"('newborns', 0.00019076434631911597)"
"('sure winner', 0.00019009406633886694)"
"('look', 0.00018960490963567465)"
"('still hold', 0.00018959909788989051)"
"('big mistake', 0.000189320191086883)"
"('dg go', 0.0001891865395923895)"
"('dollars', 0.0001889343220970122)"
"('pee', 0.00018857053057833395)"
"('directions', 0.00018831013776512496)"
"('cousin', 0.00018783321947187773)"
"('loves', 0.00018765185841614643)"
"('awesome contraption', 0.00018762881344579815)"
"('use-', 0.00018709717365983413)"
"('forever', 0.00018685512970155677)"
"('take forever', 0.00018676200903973894)"
"('free replacement', 0.00018670337029581363)"
"('take', 0.0001866688883779211)"
"('cleaning', 0.00018643988919130424)"
"('done flipping', 0.0001863791023097322)"
"('grandparents', 0.000186213755330288)"
"('toss', 0.00018554585607306542)"
"('scent', 0.00018530160902666235)"
"('germs', 0.0001849807279802821)"
"('jams', 0.00018491310194067886)"
"('summer', 0.00018471498237292784)"
"('expense', 0.00018370385712539192)"
"('oust', 0.00018343118380490092)"
"('newborns ca', 0.00018224984207700561)"
"('sign', 0.00018224608098192606)"
"('seals odours', 0.0001821880527194827)"
"('super convenient', 0.00018206737025704004)"
"('gasket', 0.00018205317558465565)"
"('help getting', 0.00018160603680149223)"
"('poo', 0.00018132384188060733)"
"('poo poo', 0.00018132384188060733)"
"('roses', 0.00018083865904374395)"
"('guess', 0.00018078289973019596)"
"('big deal', 0.00018048511876296298)"
"('starts instead', 0.00017993384516819643)"
"('happens', 0.0001795395939341615)"
"('yrs', 0.0001793026146847806)"
"('foot canvas', 0.0001792056400776861)"
"('placing', 0.0001792024244308594)"
"('poo sausage', 0.00017860574448450275)"
"('road', 0.00017846652533634326)"
"('got nasty', 0.00017833028115740458)"
"('awkward', 0.00017814980370597878)"
"('scratches', 0.0001778382382064446)"
"('plastic wrap', 0.00017752432523470148)"
"('good scrub', 0.00017716230178947017)"
"('went', 0.00017709106216788444)"
"('super simple', 0.00017666720355897532)"
"('sausage', 0.00017588764708839817)"
"('nope', 0.00017477015332920912)"
"('steps', 0.0001747305186377259)"
"('lifesaver', 0.0001744320835950252)"
"('sounds good', 0.00017435761126223664)"
"('hours', 0.00017426858249608025)"
"('reek got', 0.00017414574157731356)"
"('ca', 0.00017373533783489526)"
"('parts', 0.00017334767634169022)"
"('difficulty', 0.0001733254807753809)"
"('require putting', 0.00017315327874930307)"
"('gets older', 0.00017300463446794708)"
"('must wrap', 0.00017296362064449434)"
"('keeping putting', 0.000172421277238704)"
"('everyday', 0.00017239285796155502)"
"('super fast', 0.00017234520689346147)"
"('feet', 0.00017216542969090645)"
"('stinks like', 0.0001721573021666952)"
"('girlfriend', 0.00017181485826628135)"
"('right height', 0.00017169310357030088)"
"('got back', 0.0001715055190322333)"
"('addition', 0.00017136498433457877)"
"('go back', 0.00017131988617981477)"
"('bought', 0.00017120816953638515)"
"('got older', 0.00017099101158595515)"
"('makes', 0.00017094576863650154)"
"('walls', 0.00017062585479369103)"
"('needs changing', 0.00017037392520658656)"
"('poopies', 0.00017017047892161288)"
"('im', 0.00017008586504261075)"
"('still gets', 0.00016970556216303913)"
"('seals free', 0.00016966592869615632)"
"('contraption controls', 0.00016899375949488862)"
"('still looks', 0.00016898125844966327)"
"('ie', 0.00016878851655400444)"
"('avoid changing', 0.00016877304823901108)"
"('plain', 0.0001685894795312101)"
"('difficult', 0.00016833101617949657)"
"('stinky poops', 0.00016826393458140647)"
"('help keep', 0.00016802310623491976)"
"('babysitters', 0.0001678726510388508)"
"('still got', 0.00016769193928104718)"
"('still secure', 0.00016757681227458208)"
"('much quicker', 0.0001675529207710505)"
"('pails require', 0.0001675302693665012)"
"('still go', 0.00016750630642862864)"
"('still think', 0.0001672484200602618)"
"('loves opening', 0.00016721396324230521)"
"('spending', 0.0001671881064286811)"
"('good height', 0.0001666752334869905)"
"('right back', 0.00016635833674621736)"
"('button', 0.00016606077300720614)"
"('kinda makes', 0.00016584601285638708)"
"('email back', 0.00016576150033905578)"
"('stock', 0.0001655457674267792)"
"('start', 0.0001653535058090635)"
"('right everybody', 0.00016509099229676625)"
"('reveiws good', 0.00016499435108539818)"
"('takes', 0.00016491423797003837)"
"('febreeze', 0.00016479912215936214)"
"('test', 0.00016451956030733041)"
"('still stinks', 0.00016434264763160852)"
"('dg', 0.00016421701981301064)"
"('plastic ring', 0.00016380904029555653)"
"('nasty germs', 0.00016355698260924292)"
"('world ca', 0.00016315043668020863)"
"('mouth', 0.00016311735443010354)"
"('comments', 0.0001631133999769869)"
"('look like', 0.00016304538609566847)"
"('seals must', 0.00016270894334321085)"
"('genies', 0.00016258160414196995)"
"('girl starts', 0.00016177841333809255)"
"('poopy hour', 0.00016176624257899583)"
"('simple solution', 0.00016174500772697426)"
"('insert needs', 0.00016166586858141775)"
"('like cleaning', 0.00016146287587348325)"
"('sale', 0.00016139588189133169)"
"('yeah right', 0.00016137625626172576)"
"('bonus', 0.00016096711015714998)"
"('door', 0.00016095733511361043)"
"('kinda', 0.00016074625707627262)"
"('triplets', 0.00016068013708913536)"
"('disappointment', 0.00016052097206545324)"
"('hall', 0.0001602879933601113)"
"('scrub', 0.0001601273832409876)"
"('winner', 0.00016010274037667123)"
"('daycare', 0.000160100761622333)"
"('like oust', 0.0001599585231802816)"
"('go bye', 0.00015992650556022884)"
"('go visit', 0.00015973012294003285)"
"('go wrong', 0.00015944374222023064)"
"('look back', 0.00015904431131176793)"
"('like roses', 0.00015866226079970313)"
"('dont', 0.0001586533092392381)"
"('dream', 0.0001583008511907052)"
"('bonus features', 0.00015827136107493745)"
"('still good', 0.00015752688691172083)"
"('warm', 0.00015738949464541162)"
"('needs help', 0.00015728321324938238)"
"('cinch', 0.0001569985869600749)"
"('foods start', 0.00015677427367230963)"
"('keep germs', 0.00015659432764277324)"
"('supervisor', 0.00015650308952997399)"
"('getting warm', 0.00015638164154191048)"
"('complain', 0.000156188693224472)"
"('stunk', 0.0001561237315461814)"
"('require cleaning', 0.00015606673010656435)"
"('cents', 0.0001560171560140034)"
"('mo', 0.0001560109344289039)"
"('trips', 0.0001559831015795964)"
"('features', 0.00015557561199272492)"
"('getting', 0.00015537378843840933)"
"('diet', 0.000155047156772999)"
"('it.i ca', 0.00015482459759427836)"
"('toss tons', 0.00015459122090130158)"
"('see right', 0.00015454516690882478)"
"('sounds', 0.0001545180021865205)"
"('good success', 0.00015447262673781226)"
"('sponge', 0.00015431975280604107)"
"('still loves', 0.00015425420595081767)"
"('niece', 0.00015412226348506666)"
"('simple cleaning', 0.00015336637879029998)"
"('start getting stinky', 0.00015303483487211602)"
"('emptying poo', 0.00015301672712572596)"
"('big sausage', 0.00015294986624108216)"
"('dog', 0.00015292722287727495)"
"('sponge lining', 0.00015279485086442524)"
"('went back', 0.0001527873875778728)"
"('world', 0.00015256553552552203)"
"('blessing', 0.0001521937712681459)"
"('refund', 0.00015186179978879825)"
"('result', 0.00015184165484748548)"
"('flaws', 0.00015135588029001307)"
"('lining', 0.0001512699489228094)"
"('breeze', 0.0001507191700139576)"
"('although', 0.0001506925787658904)"
"('fingertips', 0.0001506313174230563)"
"('cutter', 0.0001504266511020752)"
"('favor', 0.00015019634384148828)"
"('rooms', 0.00015018888803690106)"
"('version', 0.0001496763572145882)"
"('rating', 0.00014927714831574937)"
"('fault', 0.00014869342947872695)"
"('foods', 0.00014819504153555573)"
"('read directions', 0.0001480264588294976)"
"('makes emptying', 0.00014782769050367307)"
"('dont find', 0.00014767474102970609)"
"('simple steps', 0.0001475116935135108)"
"('in.i', 0.00014740374845345278)"
"('still ca', 0.00014729594566019209)"
"('starts getting difficult', 0.00014699333781505002)"
"('grab', 0.00014681451161765421)"
"('opening', 0.000146776068068464)"
"('word', 0.00014661646983435287)"
"('containing', 0.00014660618879898878)"
"('still go wrong', 0.00014658134597531674)"
"('windows', 0.0001465388839840532)"
"('us forever', 0.0001457224452892895)"
"('odours', 0.00014568026081997616)"
"('us take', 0.00014562932462747167)"
"('sounds like', 0.00014550193237109139)"
"('big disappointment', 0.0001452665287296097)"
"('makes sense', 0.00014507511271405802)"
"('infants', 0.000145068978445911)"
"('older genies', 0.00014501815111863742)"
"('sprays', 0.00014491581239067062)"
"('cons', 0.00014467372872855537)"
"('deck', 0.00014414029786201637)"
"('alas', 0.0001440841589046077)"
"('website', 0.00014371313001779198)"
"('gallon', 0.00014327348092564324)"
"('thanks', 0.00014304038396823935)"
"('houses', 0.00014285292484327166)"
"('till', 0.00014238258052990982)"
"('warning', 0.0001423717455220192)"
"('awesome', 0.00014216755811914198)"
"('nasty', 0.00014213323723820373)"
"('like opening', 0.00014163096531206315)"
"('guy', 0.00014137142525628293)"
"('opening it.i', 0.00014134496271106273)"
"('neat', 0.0001411255950063045)"
"('noise', 0.00014042697403297537)"
"('nasty stinky', 0.0001402552238035395)"
"('factor', 0.00014005005810952876)"
"('start leaving', 0.00013985700959285246)"
"('awesome find', 0.00013943186546965802)"
"('interest', 0.00013942760761769432)"
"('heck', 0.000139214618797546)"
"('saves', 0.00013920527775863108)"
"('nanny', 0.0001391991139206329)"
"('height', 0.00013915324663602827)"
"('seller', 0.0001389688585437604)"
"('mouth accepts', 0.00013893908976089582)"
"('much', 0.00013876773356356298)"
"('effectiveness', 0.00013870864308508115)"
"('wider opening', 0.00013869011292231163)"
"('older version', 0.00013856552765494654)"
"('performance', 0.00013844801193002956)"
"('stinky', 0.00013837721036887523)"
"('spin', 0.00013821024130155338)"
"('bought us', 0.0001378989652067037)"
"('impossible', 0.00013774417529495206)"
"('replace', 0.00013746071563829992)"
"('sassy makes', 0.00013702262379430152)"
"('construction', 0.00013697365787294897)"
"('find', 0.00013669617282017406)"
"('thumbs', 0.00013669096359944627)"
"('like', 0.00013648586255566228)"
"('function', 0.00013643182407210706)"
"('call', 0.0001363656105765911)"
"('starts getting', 0.00013632449863282674)"
"('it.i', 0.00013591385735366147)"
"('power', 0.0001358172207947484)"
"('reveiws', 0.00013579148183284355)"
"('tumbler', 0.0001356154378589828)"
"('alternative', 0.0001355294531143959)"
"('folks', 0.0001353001991006034)"
"('gallons', 0.00013523997428381912)"
"('suggestions', 0.00013508263282889992)"
"('energy', 0.00013500158619447625)"
"('homes', 0.0001346906298885651)"
"('fingernails opening', 0.00013461433555735363)"
"('positives', 0.0001345623299159821)"
"('within', 0.00013452395896998174)"
"('na', 0.0001343909041028945)"
"('cuts', 0.00013415174454752414)"
"('ball', 0.00013414364364343456)"
"('bunch', 0.00013409851319997425)"
"('reek', 0.00013376415807802168)"
"('still containing', 0.00013373137114223885)"
"('loud noise', 0.00013371219346011031)"
"('dont fold', 0.00013360740742084668)"
"('oderless', 0.0001335589176693437)"
"('.i like', 0.00013338317381846108)"
"('moma', 0.00013313283242809875)"
"('poopoo', 0.00013308337067695)"
"('access', 0.0001329656087639454)"
"('raves', 0.00013282377602014258)"
"('fingernail', 0.0001326737723574741)"
"('pacifiers', 0.0001325322999614879)"
"('stores', 0.00013235970330532736)"
"('canvas', 0.00013214778225052875)"
"('fall', 0.00013198813940527732)"
"('coupon', 0.00013175416734424291)"
"('gennie', 0.00013164375217199884)"
"('getting potty', 0.00013163248876442234)"
"('saves tons', 0.0001314209317440844)"
"('cuts back', 0.00013131772876769267)"
"('like everybody', 0.0001312174433223106)"
"('convenient', 0.00013109320178542522)"
"('screams', 0.00013106242526699844)"
"('narrow opening', 0.0001307418875239832)"
"('wider', 0.00013060415777615926)"
"('like emptying', 0.00013059773746325345)"
"('fits like', 0.00013049576035773728)"
"('sturdy construction', 0.00013033916023017563)"
"('.i', 0.00013028048508125986)"
"('smart', 0.00013016341059309564)"
"('big', 0.00013001208539376613)"
"('creations', 0.00012939285219768222)"
"('cake', 0.00012903102030791604)"
"('still like', 0.0001286712080205756)"
"('back', 0.00012848371298786117)"
"('toilets', 0.00012845416115926306)"
"('keep', 0.0001282079273052644)"
"('landfills', 0.00012820015261605068)"
"('occasion', 0.00012804269964359206)"
"('draw back', 0.00012796661811018608)"
"('book', 0.00012748664087983936)"
"('older', 0.00012745469809530486)"
"('draw', 0.000127449523232511)"
"('loud', 0.00012699741288724529)"
"('keep emptying', 0.0001264587698380545)"
"('places', 0.00012630357987195582)"
"('sorry', 0.00012625285132235838)"
"('dads', 0.0001262245097859613)"
